"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)"
"Aa en Hunze";"GM1680    ";"Aa en Hunze                                       ";"GG0706    ";"GGD Drenthe                                       "
"Aalsmeer";"GM0358    ";"Aalsmeer                                          ";"GG3406    ";"GGD Amsterdam                                     "
"Aalten";"GM0197    ";"Aalten                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Achtkarspelen";"GM0059    ";"Achtkarspelen                                     ";"GG7206    ";"GGD Fryslân                                       "
"Alblasserdam";"GM0482    ";"Alblasserdam                                      ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Albrandswaard";"GM0613    ";"Albrandswaard                                     ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Alkmaar";"GM0361    ";"Alkmaar                                           ";"GG2707    ";"GGD Hollands-Noorden                              "
"Almelo";"GM0141    ";"Almelo                                            ";"GG1106    ";"GGD Twente                                        "
"Almere";"GM0034    ";"Almere                                            ";"GG2209    ";"GGD Flevoland                                     "
"Alphen aan den Rijn";"GM0484    ";"Alphen aan den Rijn                               ";"GG4506    ";"GGD Hollands-Midden                               "
"Alphen-Chaam";"GM1723    ";"Alphen-Chaam                                      ";"GG5206    ";"GGD West-Brabant                                  "
"Altena";"GM1959    ";"Altena                                            ";"GG5206    ";"GGD West-Brabant                                  "
"Ameland";"GM0060    ";"Ameland                                           ";"GG7206    ";"GGD Fryslân                                       "
"Amersfoort";"GM0307    ";"Amersfoort                                        ";"GG2514    ";"GGD Regio Utrecht                                 "
"Amstelveen";"GM0362    ";"Amstelveen                                        ";"GG3406    ";"GGD Amsterdam                                     "
"Amsterdam";"GM0363    ";"Amsterdam                                         ";"GG3406    ";"GGD Amsterdam                                     "
"Apeldoorn";"GM0200    ";"Apeldoorn                                         ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Arnhem";"GM0202    ";"Arnhem                                            ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Assen";"GM0106    ";"Assen                                             ";"GG0706    ";"GGD Drenthe                                       "
"Asten";"GM0743    ";"Asten                                             ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Baarle-Nassau";"GM0744    ";"Baarle-Nassau                                     ";"GG5206    ";"GGD West-Brabant                                  "
"Baarn";"GM0308    ";"Baarn                                             ";"GG2514    ";"GGD Regio Utrecht                                 "
"Barendrecht";"GM0489    ";"Barendrecht                                       ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Barneveld";"GM0203    ";"Barneveld                                         ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Beek (L.)";"GM0888    ";"Beek                                              ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Beekdaelen";"GM1954    ";"Beekdaelen                                        ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Beesel";"GM0889    ";"Beesel                                            ";"GG6011    ";"GGD Limburg-Noord                                 "
"Berg en Dal";"GM1945    ";"Berg en Dal                                       ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Bergeijk";"GM1724    ";"Bergeijk                                          ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Bergen (L.)";"GM0893    ";"Bergen (L.)                                       ";"GG6011    ";"GGD Limburg-Noord                                 "
"Bergen (NH.)";"GM0373    ";"Bergen (NH.)                                      ";"GG2707    ";"GGD Hollands-Noorden                              "
"Bergen op Zoom";"GM0748    ";"Bergen op Zoom                                    ";"GG5206    ";"GGD West-Brabant                                  "
"Berkelland";"GM1859    ";"Berkelland                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
